"metres","GR"
84.1248,4.6123
84.2772,4.53
84.4296,4.0305
84.582,2.8578
84.7344,2.4914
84.8868,3.0107
85.0392,2.58
85.1916,2.53
85.344,3.0892
85.4964,3.1326
85.6488,2.92
85.8012,3.15
85.9536,3.7529
86.106,4.0822
86.2584,4.22
86.4108,4.1815
86.5632,3.5174
86.7156,2.7582
86.868,2.3431
87.0204,2.1828
87.1728,2.1276
87.3252,2.0607
87.4776,2.3158
87.63,2.9859
87.7824,3.1004
87.9348,3.1126
88.0872,2.8889
88.2396,2.9249
88.392,3.045
88.5444,3.1648
88.6968,3.3594
88.8492,3.1989
89.0016,2.6283
89.154,2.2023
89.3064,2.0854
89.4588,2.3452
89.6112,3.1671
89.7636,3.6836
89.916,3.4939
90.0684,2.9912
90.2208,2.8853
90.3732,3.2791
90.5256,3.585
90.678,3.9035
90.8304,4.0479
90.9828,3.9491
91.1352,4.293
91.2876,3.8535
91.44,2.8187
91.5924,2.3714
91.7448,2.822
91.8972,3.5539
92.0496,3.5533
92.202,4.0531
92.3544,4.397
92.5068,4.1398
92.6592,3.5643
92.8116,3.0864
92.964,3.4178
93.1164,3.3083
93.2688,3.8715
93.4212,4.2544
93.5736,4.0622
93.726,3.4233
93.8784,2.7766
94.0308,2.6334
94.1832,2.8224
94.3356,2.8357
94.488,3.6089
94.6404,4.4176
94.7928,5.2479
94.9452,4.8847
95.0976,5.0428
95.25,5.5725
95.4024,5.1413
95.5548,4.8244
95.7072,4.8307
95.8596,5.3828
96.012,5.375
96.1644,5.0952
96.3168,4.8089
96.4692,4.3298
96.6216,3.5397
96.774,3.8815
96.9264,4.1875
97.0788,4.0886
97.2312,3.8684
97.3836,4.7783
97.536,5.7731
97.6884,6.5468
97.8408,6.9367
97.9932,6.8343
98.1456,6.0823
98.298,5.4869
98.4504,5.701
98.6028,5.1764
98.7552,4.4261
98.9076,4.4034
99.06,5.0344
99.2124,4.8545
99.3648,4.6069
99.5172,5.5489
99.6696,6.394
99.822,5.5404
99.9744,5.0685
100.1268,5.4629
100.2792,6.5475
100.4316,6.6674
100.584,6.216
100.7364,5.6594
100.8888,5.2051
101.0412,5.02
101.1936,5.4398
101.346,5.9398
101.4984,5.7565
101.6508,4.8653
101.8032,4.9516
101.9556,5.848
102.108,5.544
102.2604,4.5927
102.4128,4.223
102.5652,4.3186
102.7176,4.07
102.87,4.1448
103.0224,4.5898
103.1748,5.1109
103.3272,5.5938
103.4796,5.7778
103.632,6.0703
103.7844,5.7951
103.9368,5.5835
104.0892,5.9995
104.2416,5.4885
104.394,5.2401
104.5464,5.4324
104.6988,5.5625
104.8512,5.7019
105.0036,5.8075
105.156,6.4556
105.3084,6.5608
105.4608,6.3197
105.6132,5.3119
105.7656,4.9492
105.918,5.2225
106.0704,5.3055
106.2228,5.0589
106.3752,4.9012
106.5276,5.8628
106.68,6.4237
106.8324,6.7472
106.9848,5.562
107.1372,4.5858
107.2896,4.7318
107.442,4.9843
107.5944,4.741
107.7468,4.3748
107.8992,4.3862
108.0516,5.5991
108.204,6.6822
108.3564,7.4025
108.5088,7.7348
108.6612,6.8797
108.8136,6.1042
108.966,5.7722
109.1184,5.3727
109.2708,5.4228
109.4232,6.3518
109.5756,5.9412
109.728,4.9562
109.8804,4.6722
110.0328,5.0231
110.1852,5.1777
110.3376,5.381
110.49,5.7245
110.6424,5.646
110.7948,5.715
110.9472,5.7823
111.0996,5.014
111.252,4.9783
111.4044,5.1565
111.5568,4.2224
111.7092,3.6844
111.8616,3.5977
112.014,3.9286
112.1664,4.0294
112.3188,4.2367
112.4712,4.8143
112.6236,4.7069
112.776,4.7405
112.9284,4.9124
113.0808,5.1165
113.2332,5.2342
113.3856,4.7429
113.538,5.3938
113.6904,5.9508
113.8428,5.8003
113.9952,5.5868
114.1476,6.0374
114.3,6.7183
114.4524,6.5302
114.6048,5.9
114.7572,6.0946
114.9096,6.384
115.062,5.5331
115.2144,4.975
115.3668,4.9634
115.5192,5.1746
115.6716,5.5503
115.824,5.9586
115.9764,6.2801
116.1288,6.246
116.2812,5.5214
116.4336,4.7569
116.586,3.7681
116.7384,4.9905
116.8908,5.6111
117.0432,6.0143
117.1956,6.2431
117.348,6.4238
117.5004,6.3704
117.6528,6.2019
117.8052,5.6732
117.9576,4.873
118.11,4.4076
118.2624,4.3236
118.4148,4.6393
118.5672,4.8269
118.7196,5.0619
118.872,5.242
119.0244,5.2088
119.1768,4.8561
119.3292,5.5047
119.4816,6.2094
119.634,6.3022
119.7864,6.9081
119.9388,7.8463
120.0912,8.0362
120.2436,8.7739
120.396,9.6848
120.5484,10.0447
120.7008,9.126
120.8532,8.1894
121.0056,8.0014
121.158,7.9902
121.3104,8.024
121.4628,8.0673
121.6152,8.1771
121.7676,8.1446
121.92,8.1121
122.0724,8.0796
122.2248,8.1477
122.3772,8.0572
122.5296,8.1963
122.682,6.8731
122.8344,6.2711
122.9868,6.4698
123.1392,6.9094
123.2916,7.3997
123.444,7.7869
123.5964,8.259
123.7488,8.975
123.9012,9.2542
124.0536,8.914
124.206,7.9672
124.3584,7.9019
124.5108,7.43
124.6632,9.264
124.8156,9.4016
124.968,8.427
125.1204,6.6976
125.2728,6.1636
125.4252,6.7879
125.5776,7.1057
125.73,6.3135
125.8824,6.6073
126.0348,7.23
126.1872,6.5959
126.3396,5.7701
126.492,5.5838
126.6444,6.6953
126.7968,7.7258
126.9492,8.0428
127.1016,8.1162
127.254,8.1154
127.4064,7.9099
127.5588,7.9173
127.7112,8.6963
127.8636,7.7118
128.016,7.3376
128.1684,7.2559
128.3208,6.9972
128.4732,7.4403
128.6256,8.7997
128.778,8.7702
128.9304,7.8324
129.0828,7.9473
129.2352,8.812
129.3876,8.8013
129.54,8.176
129.6924,8.5492
129.8448,9.4278
129.9972,10.1824
130.1496,10.0509
130.302,9.0279
130.4544,8.2419
130.6068,8.4179
130.7592,9.639
130.9116,10.1009
131.064,9.8994
131.2164,8.6513
131.3688,8.4438
131.5212,8.6802
131.6736,9.1069
131.826,9.5187
131.9784,9.9047
132.1308,10.6716
132.2832,12.2119
132.4356,12.7778
132.588,11.4726
132.7404,10.6147
132.8928,10.1071
133.0452,10.0315
133.1976,10.2916
133.35,11.1434
133.5024,11.8693
133.6548,12.2482
133.8072,12.3984
133.9596,12.2948
134.112,11.6357
134.2644,12.1058
134.4168,11.6803
134.5692,10.9035
134.7216,10.745
134.874,10.8829
135.0264,11.2233
135.1788,11.5144
135.3312,12.7794
135.4836,13.0577
135.636,13.3009
135.7884,13.2418
135.9408,13.1948
136.0932,13.99
136.2456,13.8086
136.398,11.9484
136.5504,11.1479
136.7028,11.0993
136.8552,10.4776
137.0076,9.4969
137.16,9.0325
137.3124,9.7159
137.4648,9.7617
137.6172,10.6921
137.7696,11.743
137.922,11.6561
138.0744,11.5388
138.2268,12.4672
138.3792,12.6872
138.5316,11.7453
138.684,10.676
138.8364,9.7636
138.9888,8.5227
139.1412,8.1324
139.2936,8.0355
139.446,7.3573
139.5984,7.5159
139.7508,7.8511
139.9032,8.0142
140.0556,8.0033
140.208,8.3901
140.3604,8.2914
140.5128,8.4262
140.6652,8.1983
140.8176,9.5191
140.97,11.0933
141.1224,11.1302
141.2748,11.0392
141.4272,10.713
141.5796,10.0311
141.732,10.3736
141.8844,10.7794
142.0368,11.351
142.1892,10.8124
142.3416,9.8935
142.494,9.6413
142.6464,10.0209
142.7988,8.9619
142.9512,8.2792
143.1036,7.8481
143.256,7.5804
143.4084,7.3258
143.5608,8.3563
143.7132,8.498
143.8656,8.3933
144.018,8.7298
144.1704,8.4324
144.3228,8.7444
144.4752,9.1691
144.6276,8.794
144.78,8.5758
144.9324,8.2306
145.0848,7.601
145.2372,7.5375
145.3896,8.3767
145.542,9.6405
145.6944,9.3902
145.8468,8.6517
145.9992,8.9159
146.1516,9.6835
146.304,8.728
146.4564,8.5995
146.6088,9.271
146.7612,10.6162
146.9136,11.2714
147.066,11.7982
147.2184,12.9684
147.3708,13.7314
147.5232,14.1072
147.6756,14.2848
147.828,14.4043
147.9804,14.4094
148.1328,15.8307
148.2852,16.2474
148.4376,15.6729
148.59,14.051
148.7424,13.3308
148.8948,10.8761
149.0472,10.2038
149.1996,9.9967
149.352,10.651
149.5044,10.7358
149.6568,10.7105
149.8092,11.5463
149.9616,13.0366
150.114,14.0964
150.2664,14.4519
150.4188,14.0824
150.5712,12.8562
150.7236,11.9362
150.876,11.3765
151.0284,11.1717
151.1808,11.5867
151.3332,11.6675
151.4856,11.1168
151.638,10.6591
151.7904,11.3728
151.9428,11.8154
152.0952,11.2581
152.2476,11.1776
152.4,11.976
152.5524,11.2494
152.7048,10.2321
152.8572,10.2556
153.0096,10.7813
153.162,11.3483
153.3144,11.4515
153.4668,11.203
153.6192,11.5855
153.7716,11.5332
153.924,10.691
154.0764,10.8063
154.2288,11.7287
154.3812,12.2569
154.5336,12.2434
154.686,11.9014
154.8384,11.7637
154.9908,12.6472
155.1432,12.9022
155.2956,12.5918
155.448,11.5364
155.6004,11.573
155.7528,11.5822
155.9052,12.3765
156.0576,12.5251
156.21,11.6555
156.3624,10.6784
156.5148,9.9934
156.6672,10.2992
156.8196,11.3795
156.972,12.7365
157.1244,13.2441
157.2768,13.2164
157.4292,12.8964
157.5816,12.5902
157.734,11.0466
157.8864,9.6595
158.0388,10.2422
158.1912,11.0748
158.3436,11.8351
158.496,12.1873
158.6484,11.7069
158.8008,10.7767
158.9532,10.6829
159.1056,11.6425
159.258,12.1875
159.4104,12.191
159.5628,11.7627
159.7152,11.2631
159.8676,10.9411
160.02,9.8848
160.1724,9.5367
160.3248,10.1269
160.4772,10.2432
160.6296,9.9619
160.782,8.9722
160.9344,8.1142
161.0868,10.6148
161.2392,11.4684
161.3916,11.4564
161.544,10.449
161.6964,9.6494
161.8488,9.4148
162.0012,10.283
162.1536,10.1112
162.306,9.9536
162.4584,9.936
162.6108,10.6626
162.7632,11.3214
162.9156,11.3552
163.068,10.4202
163.2204,10.2862
163.3728,9.9373
163.5252,9.3846
163.6776,9.5829
163.83,9.4828
163.9824,8.7707
164.1348,8.5579
164.2872,9.9972
164.4396,10.6715
164.592,10.6086
164.7444,10.2357
164.8968,11.0048
165.0492,11.0535
165.2016,11.1668
165.354,11.6238
165.5064,10.7882
165.6588,11.0226
165.8112,11.7637
165.9636,12.3609
166.116,12.8899
166.2684,13.0573
166.4208,12.3162
166.5732,11.5684
166.7256,11.1028
166.878,11.1925
167.0304,12.1345
167.1828,12.5005
167.3352,13.0935
167.4876,13.6872
167.64,13.5929
167.7924,13.9087
167.9448,14.2679
168.0972,13.7305
168.2496,13.8686
168.402,13.9467
168.5544,13.3196
168.7068,13.0768
168.8592,12.8391
169.0116,12.4667
169.164,12.2524
169.3164,11.9306
169.4688,11.412
169.6212,11.4757
169.7736,11.782
169.926,11.2592
170.0784,10.609
170.2308,9.7744
170.3832,8.7841
170.5356,8.86
170.688,9.3472
170.8404,8.9645
170.9928,8.3336
171.1452,8.4993
171.2976,8.9476
171.45,8.6152
171.6024,8.2719
171.7548,8.1519
171.9072,8.498
172.0596,7.9312
172.212,7.1753
172.3644,7.9929
172.5168,8.1593
172.6692,7.9369
172.8216,8.1069
172.974,8.7154
173.1264,9.666
173.2788,10.0138
173.4312,8.9926
173.5836,7.9047
173.736,7.8702
173.8884,8.956
174.0408,10.146
174.1932,11.028
174.3456,11.8331
174.498,12.1612
174.6504,11.1459
174.8028,11.3478
174.9552,11.6922
175.1076,10.708
175.26,10.6236
175.4124,10.6983
175.5648,10.8018
175.7172,10.9212
175.8696,10.7949
176.022,10.6597
176.1744,10.0512
176.3268,8.862
176.4792,8.0085
176.6316,7.7152
176.784,7.7345
176.9364,7.7691
177.0888,7.9951
177.2412,8.4834
177.3936,8.1411
177.546,7.7193
177.6984,7.8234
177.8508,8.072
178.0032,8.2742
178.1556,9.1714
178.308,9.9075
178.4604,9.7782
178.6128,9.974
178.7652,9.6646
178.9176,9.1898
179.07,9.1151
179.2224,8.4813
179.3748,7.7766
179.5272,7.8423
179.6796,9.6533
179.832,11.223
179.9844,11.5166
180.1368,11.6128
180.2892,11.6077
180.4416,11.7155
180.594,12.4015
180.7464,13.111
180.8988,12.7123
181.0512,11.9239
181.2036,12.6211
181.356,12.432
181.5084,11.0661
181.6608,10.585
181.8132,10.2149
181.9656,9.5272
182.118,9.7533
182.2704,10.6315
182.4228,11.0194
182.5752,10.9252
182.7276,10.6647
182.88,9.8762
183.0324,9.9024
183.1848,10.0712
183.3372,9.623
183.4896,9.732
183.642,10.1606
183.7944,10.1061
183.9468,9.3261
184.0992,8.8812
184.2516,8.7571
184.404,8.845
184.5564,9.0943
184.7088,9.1973
184.8612,8.985
185.0136,8.8927
185.166,8.5383
185.3184,7.6221
185.4708,8.5224
185.6232,8.5161
185.7756,7.7915
185.928,7.4683
186.0804,7.5197
186.2328,7.4915
186.3852,8.2395
186.5376,8.9706
186.69,9.7362
186.8424,10.4288
186.9948,10.6698
187.1472,10.1503
187.2996,10.1768
187.452,10.5174
187.6044,11.0467
187.7568,11.6405
187.9092,12.1589
188.0616,12.3307
188.214,11.0882
188.3664,11.0313
188.5188,10.0742
188.6712,8.6829
188.8236,8.0688
188.976,7.8728
189.1284,8.2227
189.2808,9.1245
189.4332,10.4727
189.5856,10.6926
189.738,9.8421
189.8904,9.1801
190.0428,10.334
190.1952,10.4114
190.3476,9.8029
190.5,9.3214
190.6524,9.5992
190.8048,9.6134
190.9572,8.2261
191.1096,7.623
191.262,8.0086
191.4144,9.0614
191.5668,8.6609
191.7192,7.6833
191.8716,7.6174
192.024,8.2068
192.1764,8.4692
192.3288,8.3766
192.4812,6.7779
192.6336,6.6397
192.786,6.5571
192.9384,6.5319
193.0908,6.5025
193.2432,6.4397
193.3956,6.6761
193.548,7.1514
193.7004,7.8656
193.8528,9.0123
194.0052,9.5915
194.1576,8.8197
194.31,7.6102
194.4624,7.0676
194.6148,7.1391
194.7672,7.5299
194.9196,8.0593
195.072,7.5413
195.2244,7.4084
195.3768,8.0997
195.5292,8.6378
195.6816,8.9881
195.834,9.3992
195.9864,9.0886
196.1388,9.0486
196.2912,9.0133
196.4436,8.3391
196.596,8.491
196.7484,9.1159
196.9008,9.2032
197.0532,8.6383
197.2056,8.0343
197.358,7.8146
197.5104,7.2964
197.6628,7.9225
197.8152,8.2519
197.9676,8.0253
198.12,7.7418
198.2724,7.8419
198.4248,7.5517
198.5772,6.9772
198.7296,6.9464
198.882,7.0215
199.0344,6.8827
199.1868,6.9043
199.3392,7.9617
199.4916,8.6532
199.644,9.1714
199.7964,9.2389
199.9488,8.8842
200.1012,9.1338
200.2536,9.156
200.406,8.7378
200.5584,9.3011
200.7108,9.9684
200.8632,9.5748
201.0156,9.0424
201.168,8.8094
201.3204,8.6885
201.4728,8.3203
201.6252,8.2976
201.7776,9.236
201.93,9.8127
202.0824,9.2881
202.2348,8.7386
202.3872,8.5671
202.5396,8.6465
202.692,8.2916
202.8444,7.7616
202.9968,8.1146
203.1492,8.4429
203.3016,8.0346
203.454,8.059
203.6064,7.7503
203.7588,8.5325
203.9112,9.0537
204.0636,8.7701
204.216,9.3724
204.3684,9.8804
204.5208,10.1304
204.6732,10.1586
204.8256,9.8497
204.978,8.9673
205.1304,8.0532
205.2828,8.2499
205.4352,8.6806
205.5876,8.5702
205.74,8.7646
205.8924,9.3269
206.0448,9.523
206.1972,8.9234
206.3496,7.1235
206.502,7.1529
206.6544,7.1366
206.8068,7.4387
206.9592,8.7346
207.1116,9.1162
207.264,9.3031
207.4164,9.4839
207.5688,9.7192
207.7212,9.9736
207.8736,10.2211
208.026,10.8645
208.1784,11.4746
208.3308,11.9638
208.4832,11.8443
208.6356,10.819
208.788,11.2062
208.9404,11.4172
209.0928,10.8366
209.2452,10.0257
209.3976,9.978
209.55,9.9443
209.7024,9.8826
209.8548,10.038
210.0072,10.0492
210.1596,9.4561
210.312,9.189
210.4644,8.5907
210.6168,8.1185
210.7692,8.3332
210.9216,9.136
211.074,8.7735
211.2264,8.6716
211.3788,8.3229
211.5312,7.8805
211.6836,8.2302
211.836,8.3705
211.9884,7.9223
212.1408,8.1732
212.2932,8.6115
212.4456,7.736
212.598,7.9122
212.7504,8.4724
212.9028,8.7981
213.0552,8.4559
213.2076,7.5863
213.36,7.8239
213.5124,8.4552
213.6648,9.4021
213.8172,10.6784
213.9696,12.8602
214.122,14.0994
214.2744,15.6433
214.4268,18.2437
214.5792,20.6059
214.7316,21.9784
214.884,22.0836
215.0364,19.86
215.1888,19.3515
215.3412,18.7703
215.4936,17.996
215.646,17.2598
215.7984,14.9471
215.9508,12.9413
216.1032,10.8699
216.2556,10.1981
216.408,10.8621
216.5604,11.752
216.7128,11.2499
216.8652,9.6026
217.0176,9.0892
217.17,9.1201
217.3224,8.0815
217.4748,7.4367
217.6272,7.5085
217.7796,7.7588
217.932,8.8663
218.0844,10.2512
218.2368,10.0348
218.3892,11.4933
218.5416,12.9219
218.694,12.6723
218.8464,10.7393
218.9988,9.9513
219.1512,9.5522
219.3036,9.012
219.456,8.9817
219.6084,9.4063
219.7608,8.888
219.9132,9.3993
220.0656,10.5331
220.218,10.6555
220.3704,9.4079
220.5228,8.7743
220.6752,8.9098
220.8276,9.3302
220.98,10.0117
221.1324,10.2393
221.2848,9.8357
221.4372,9.0785
221.5896,8.3142
221.742,7.9071
221.8944,8.4527
222.0468,8.4879
222.1992,7.9128
222.3516,8.0984
222.504,7.6905
222.6564,8.1366
222.8088,8.4455
222.9612,7.4543
223.1136,7.3082
223.266,8.1494
223.4184,8.8845
223.5708,8.8758
223.7232,7.5726
223.8756,6.6987
224.028,6.2249
224.1804,6.7176
224.3328,7.4349
224.4852,7.5254
224.6376,7.105
224.79,7.1371
224.9424,8.0348
225.0948,8.2349
225.2472,7.6609
225.3996,7.4456
225.552,8.144
225.7044,7.9161
225.8568,7.1514
226.0092,6.929
226.1616,7.0894
226.314,7.7019
226.4664,8.9853
226.6188,9.9904
226.7712,10.6767
226.9236,11.0474
227.076,11.2851
227.2284,10.8371
227.3808,11.9315
227.5332,11.743
227.6856,11.3227
227.838,10.8188
227.9904,9.9631
228.1428,7.8278
228.2952,7.2431
228.4476,7.0762
228.6,8.6608
228.7524,8.4834
228.9048,8.7948
229.0572,9.1625
229.2096,8.3107
229.362,7.67
229.5144,7.9566
229.6668,8.1852
229.8192,8.4356
229.9716,9.4439
230.124,10.96
230.2764,10.9797
230.4288,10.3104
230.5812,11.1898
230.7336,12.2605
230.886,11.5117
231.0384,11.4266
231.1908,11.3178
231.3432,10.8018
231.4956,9.8943
231.648,9.6095
231.8004,9.2215
231.9528,8.4251
232.1052,8.6188
232.2576,8.0556
232.41,7.289
232.5624,7.9946
232.7148,8.0727
232.8672,6.9085
233.0196,7.0445
233.172,7.3117
233.3244,7.5809
233.4768,7.4563
233.6292,7.3197
233.7816,7.5689
233.934,7.8316
234.0864,8.0283
234.2388,7.9644
234.3912,8.2079
234.5436,8.9586
234.696,9.8404
234.8484,10.4395
235.0008,10.8474
235.1532,10.9899
235.3056,10.9544
235.458,10.7128
235.6104,10.5864
235.7628,10.4586
235.9152,10.311
236.0676,10.2776
236.22,10.7782
236.3724,11.2774
236.5248,11.8121
236.6772,12.8549
236.8296,12.9478
236.982,12.1098
237.1344,11.5816
237.2868,12.2367
237.4392,12.0056
237.5916,11.2974
237.744,12.1329
237.8964,12.8329
238.0488,14.3702
238.2012,14.5404
238.3536,13.978
238.506,14.7689
238.6584,15.9726
238.8108,16.0146
238.9632,15.2182
239.1156,14.0935
239.268,13.2867
239.4204,13.9552
239.5728,14.9399
239.7252,15.0659
239.8776,14.204
240.03,14.4689
240.1824,14.8168
240.3348,16.2246
240.4872,16.4016
240.6396,15.873
240.792,14.7227
240.9444,14.2934
241.0968,15.6977
241.2492,16.1116
241.4016,15.9703
241.554,15.7965
241.7064,14.4837
241.8588,14.8861
242.0112,16.036
242.1636,17.2455
242.316,17.7397
242.4684,16.7082
242.6208,15.2917
242.7732,14.2816
242.9256,13.5692
243.078,13.7868
243.2304,13.9533
243.3828,13.93
243.5352,12.6033
243.6876,13.5696
243.84,14.6086
243.9924,15.3437
244.1448,14.1829
244.2972,14.6085
244.4496,15.0323
244.602,13.9273
244.7544,12.9793
244.9068,12.3137
245.0592,11.6156
245.2116,12.2486
245.364,13.4461
245.5164,13.9787
245.6688,15.0005
245.8212,15.8122
245.9736,16.2423
246.126,17.276
246.2784,17.5025
246.4308,16.3568
246.5832,15.9754
246.7356,15.6132
246.888,15.5132
247.0404,16.0931
247.1928,16.9263
247.3452,16.8098
247.4976,16.2881
247.65,16.6658
247.8024,16.1946
247.9548,14.8877
248.1072,14.241
248.2596,15.0004
248.412,15.7302
248.5644,15.9211
248.7168,14.9505
248.8692,14.0547
249.0216,13.832
249.174,13.0951
249.3264,11.7627
249.4788,10.8106
249.6312,10.6211
249.7836,10.7884
249.936,12.7811
250.0884,13.4526
250.2408,13.5299
250.3932,13.3188
250.5456,12.94
250.698,12.5163
250.8504,12.2759
251.0028,12.2304
251.1552,12.7353
251.3076,13.4519
251.46,13.677
251.6124,13.0547
251.7648,13.3991
251.9172,12.9054
252.0696,12.5232
252.222,12.7174
252.3744,11.47
252.5268,11.0385
252.6792,12.0278
252.8316,11.3362
252.984,10.8773
253.1364,10.7524
253.2888,11.3086
253.4412,11.8021
253.5936,11.5935
253.746,11.5922
253.8984,12.797
254.0508,13.3324
254.2032,13.5157
254.3556,13.9547
254.508,15.2103
254.6604,17.4256
254.8128,20.4478
254.9652,23.0503
255.1176,25.4929
255.27,25.7566
255.4224,22.3613
255.5748,18.0737
255.7272,13.9004
255.8796,11.3598
256.032,11.4037
256.1844,13.1576
256.3368,13.329
256.4892,12.3093
256.6416,11.3819
256.794,11.9909
256.9464,12.9739
257.0988,13.6822
257.2512,14.1542
257.4036,14.2697
257.556,14.1498
257.7084,12.9032
257.8608,11.1795
258.0132,10.8777
258.1656,11.5341
258.318,12.6599
258.4704,13.0404
258.6228,12.3521
258.7752,12.695
258.9276,13.2833
259.08,13.5334
259.2324,12.7558
259.3848,13.0468
259.5372,13.3955
259.6896,13.6646
259.842,13.7152
259.9944,13.9374
260.1468,14.0841
260.2992,12.7719
260.4516,12.4115
260.604,12.1213
260.7564,11.2768
260.9088,11.2121
