"","depth_mm","Ti"
"X30",2.9,3.69832402234637
"X31",3,3.19526627218935
"X32",3.1,2.85955056179775
"X33",3.2,2.15243902439024
"X34",3.3,2.21111111111111
"X35",3.4,2.15286624203822
"X36",3.5,2.18888888888889
"X37",3.6,2.23204419889503
"X38",3.7,2.01754385964912
"X39",3.8,2.08720930232558
"X40",3.9,2.16129032258065
"X41",4,2.07386363636364
"X42",4.1,2.45454545454545
"X43",4.2,2.27485380116959
"X44",4.3,2.30769230769231
"X45",4.4,2.06179775280899
"X46",4.5,1.98295454545455
"X47",4.6,1.92571428571429
"X48",4.7,1.97765363128492
"X49",4.8,2.03488372093023
"X50",4.9,2.04597701149425
"X51",5,2.17441860465116
"X52",5.1,2.72826086956522
"X53",5.2,3
"X54",5.3,3.44973544973545
"X55",5.4,4.31666666666667
"X56",5.5,4.14720812182741
"X57",5.6,4.04245283018868
"X58",5.7,4.77722772277228
"X59",5.8,4.66839378238342
"X60",5.9,4.01851851851852
"X61",6,5.04081632653061
"X62",6.1,4.95360824742268
"X63",6.2,4.12
"X64",6.3,4.03517587939699
"X65",6.4,3.87634408602151
"X66",6.5,3.38693467336683
"X67",6.6,3.85641025641026
"X68",6.7,4.32474226804124
"X69",6.8,4.48421052631579
"X70",6.9,4.47761194029851
"X71",7,5.51741293532338
"X72",7.1,5.12980769230769
"X73",7.2,6.36649214659686
"X74",7.3,5.96059113300493
"X75",7.4,6.06435643564356
"X76",7.5,5.8780487804878
"X77",7.6,5.83248730964467
"X78",7.7,4.35602094240838
"X79",7.8,3.75247524752475
"X80",7.9,3.57070707070707
"X81",8,4.31219512195122
"X82",8.1,5.90291262135922
"X83",8.2,5.3960396039604
"X84",8.3,4.60386473429952
"X85",8.4,4.5320197044335
"X86",8.5,4.47846889952153
"X87",8.6,4.63551401869159
"X88",8.7,3.81159420289855
"X89",8.8,3.47
"X90",8.9,2.56122448979592
"X91",9,2.16580310880829
"X92",9.1,2.125
"X93",9.2,1.9009900990099
"X94",9.3,1.83173076923077
"X95",9.4,2.04020100502513
"X96",9.5,2.065
"X97",9.6,1.97115384615385
"X98",9.7,2.19902912621359
"X99",9.8,2.08947368421053
"X100",9.9,2.13397129186603
"X101",10,2.16746411483254
"X102",10.1,2.2047619047619
"X103",10.2,2.09859154929577
"X104",10.3,2.11320754716981
"X105",10.4,2.06862745098039
"X106",10.5,2.18316831683168
"X107",10.6,2.13679245283019
"X108",10.7,2.1413612565445
"X109",10.8,1.83009708737864
"X110",10.9,1.96534653465347
"X111",11,1.98907103825137
"X112",11.1,1.94736842105263
"X113",11.2,2.02139037433155
"X114",11.3,1.95833333333333
"X115",11.4,2.06467661691542
"X116",11.5,2.03465346534653
"X117",11.6,2.24509803921569
"X118",11.7,2.41293532338308
"X119",11.8,2.7286432160804
"X120",11.9,2.52682926829268
"X121",12,2.97142857142857
"X122",12.1,2.80769230769231
"X123",12.2,3.42465753424658
"X124",12.3,4.65502183406114
"X125",12.4,4.34389140271493
"X126",12.5,4.44541484716157
"X127",12.6,5.25663716814159
"X128",12.7,6.89787234042553
"X129",12.8,7.75308641975309
"X130",12.9,7.03688524590164
"X131",13,6.43231441048035
"X132",13.1,5.16113744075829
"X133",13.2,3.33695652173913
"X134",13.3,2.87628865979381
"X135",13.4,2.15909090909091
"X136",13.5,2.12
"X137",13.6,1.96571428571429
"X138",13.7,1.90857142857143
"X139",13.8,1.85365853658537
"X140",13.9,1.70454545454545
"X141",14,1.86549707602339
"X142",14.1,1.78616352201258
"X143",14.2,1.83240223463687
"X144",14.3,1.67901234567901
"X145",14.4,1.73410404624277
"X146",14.5,1.90384615384615
"X147",14.6,1.74585635359116
"X148",14.7,1.70440251572327
"X149",14.8,1.77439024390244
"X150",14.9,1.7639751552795
"X151",15,1.69186046511628
"X152",15.1,1.80446927374302
"X153",15.2,1.82608695652174
"X154",15.3,1.72455089820359
"X155",15.4,1.7514450867052
"X156",15.5,1.76363636363636
"X157",15.6,1.68181818181818
"X158",15.7,1.70588235294118
"X159",15.8,1.78378378378378
"X160",15.9,1.76646706586826
"X161",16,1.69032258064516
"X162",16.1,1.80368098159509
"X163",16.2,1.8
"X164",16.3,1.63924050632911
"X165",16.4,1.61176470588235
"X166",16.5,1.89221556886228
"X167",16.6,1.88311688311688
"X168",16.7,1.85310734463277
"X169",16.8,1.97041420118343
"X170",16.9,2.03723404255319
"X171",17,2.38947368421053
"X172",17.1,1.94179894179894
"X173",17.2,2.03296703296703
"X174",17.3,2.16908212560386
"X175",17.4,2.32663316582915
"X176",17.5,2.12562814070352
"X177",17.6,2.03389830508475
"X178",17.7,1.82758620689655
"X179",17.8,1.69270833333333
"X180",17.9,1.79411764705882
"X181",18,1.83333333333333
"X182",18.1,1.98477157360406
"X183",18.2,2.30208333333333
"X184",18.3,2.25603864734299
"X185",18.4,1.99492385786802
"X186",18.5,1.65608465608466
"X187",18.6,1.8735632183908
"X188",18.7,2.00564971751412
"X189",18.8,2.04591836734694
"X190",18.9,1.76649746192893
"X191",19,1.76190476190476
"X192",19.1,1.83707865168539
"X193",19.2,1.79661016949153
"X194",19.3,1.73410404624277
"X195",19.4,1.82857142857143
"X196",19.5,1.68604651162791
"X197",19.6,1.72571428571429
"X198",19.7,1.63354037267081
"X199",19.8,1.71508379888268
"X200",19.9,1.63687150837989
"X201",20,1.78443113772455
"X202",20.1,1.78089887640449
"X203",20.2,1.77844311377246
"X204",20.3,1.70108695652174
"X205",20.4,1.71508379888268
"X206",20.5,1.78947368421053
"X207",20.6,1.92441860465116
"X208",20.7,1.88414634146341
"X209",20.8,1.73529411764706
"X210",20.9,1.64367816091954
"X211",21,1.7554347826087
"X212",21.1,1.97126436781609
"X213",21.2,1.83707865168539
"X214",21.3,1.83060109289617
"X215",21.4,2.08720930232558
"X216",21.5,2.03954802259887
"X217",21.6,1.88888888888889
"X218",21.7,1.90957446808511
"X219",21.8,1.79518072289157
"X220",21.9,2.04545454545455
"X221",22,1.70760233918129
"X222",22.1,1.70175438596491
"X223",22.2,1.72972972972973
"X224",22.3,1.85955056179775
"X225",22.4,1.81460674157303
"X226",22.5,1.82941176470588
"X227",22.6,1.88372093023256
"X228",22.7,2.01063829787234
"X229",22.8,1.85119047619048
"X230",22.9,1.7202380952381
"X231",23,1.7
"X232",23.1,1.76571428571429
"X233",23.2,1.75460122699387
"X234",23.3,1.85263157894737
"X235",23.4,1.89010989010989
"X236",23.5,1.86413043478261
"X237",23.6,1.90721649484536
"X238",23.7,1.79470198675497
"X239",23.8,1.72619047619048
"X240",23.9,1.87845303867403
"X241",24,2.12790697674419
"X242",24.1,2.1055900621118
"X243",24.2,1.95977011494253
"X244",24.3,1.79444444444444
"X245",24.4,1.73809523809524
"X246",24.5,1.94736842105263
"X247",24.6,1.9559748427673
"X248",24.7,1.87349397590361
"X249",24.8,1.88732394366197
"X250",24.9,1.72560975609756
"X251",25,1.94219653179191
"X252",25.1,1.91017964071856
"X253",25.2,2.34939759036145
"X254",25.3,2.30687830687831
"X255",25.4,2.49122807017544
"X256",25.5,2.22751322751323
"X257",25.6,2
"X258",25.7,1.94943820224719
"X259",25.8,1.91411042944785
"X260",25.9,1.97619047619048
"X261",26,1.68531468531469
"X262",26.1,1.80357142857143
"X263",26.2,1.84
"X264",26.3,2.05521472392638
"X265",26.4,1.7125748502994
"X266",26.5,1.8705035971223
"X267",26.6,1.72327044025157
"X268",26.7,1.67123287671233
"X269",26.8,1.77333333333333
"X270",26.9,2.12883435582822
"X271",27,1.96894409937888
"X272",27.1,2.10625
"X273",27.2,2.01840490797546
"X274",27.3,1.8875
"X275",27.4,1.93373493975904
"X276",27.5,1.92142857142857
"X277",27.6,1.85802469135802
"X278",27.7,1.9559748427673
"X279",27.8,2.00581395348837
"X280",27.9,1.75838926174497
"X281",28,1.58757062146893
"X282",28.1,1.71428571428571
"X283",28.2,1.63793103448276
"X284",28.3,2.06285714285714
"X285",28.4,2.08536585365854
"X286",28.5,1.89032258064516
"X287",28.6,1.78231292517007
"X288",28.7,1.77018633540373
"X289",28.8,1.98214285714286
"X290",28.9,1.86144578313253
"X291",29,1.83950617283951
"X292",29.1,2.48214285714286
"X293",29.2,2.75294117647059
"X294",29.3,3.26923076923077
"X295",29.4,3.77049180327869
"X296",29.5,3.58333333333333
"X297",29.6,4.55555555555556
"X298",29.7,6.46632124352332
"X299",29.8,6.50761421319797
"X300",29.9,4.36813186813187
"X301",30,3.44186046511628
"X302",30.1,2.49700598802395
"X303",30.2,2.08433734939759
"X304",30.3,2.41111111111111
"X305",30.4,2.76373626373626
"X306",30.5,2.88202247191011
"X307",30.6,2.67630057803468
"X308",30.7,2.43604651162791
"X309",30.8,2.5
"X310",30.9,2.24468085106383
"X311",31,2.31791907514451
"X312",31.1,2.38251366120219
"X313",31.2,2.63297872340426
"X314",31.3,2.85245901639344
"X315",31.4,2.56497175141243
"X316",31.5,2.10344827586207
"X317",31.6,2.42328042328042
"X318",31.7,2.68229166666667
"X319",31.8,2.27979274611399
"X320",31.9,2.27179487179487
"X321",32,2.37912087912088
"X322",32.1,1.97237569060773
"X323",32.2,2.07428571428571
"X324",32.3,1.96969696969697
"X325",32.4,1.98477157360406
"X326",32.5,2.08196721311475
"X327",32.6,2.01639344262295
"X328",32.7,1.8
"X329",32.8,1.8936170212766
"X330",32.9,2.53846153846154
"X331",33,2.2817679558011
"X332",33.1,2.05952380952381
"X333",33.2,2.26086956521739
"X334",33.3,2.26519337016575
"X335",33.4,2.34042553191489
"X336",33.5,2.00571428571429
"X337",33.6,2.07262569832402
"X338",33.7,2.08888888888889
"X339",33.8,1.87113402061856
"X340",33.9,1.86206896551724
"X341",34,1.83977900552486
"X342",34.1,1.88165680473373
"X343",34.2,1.85549132947977
"X344",34.3,1.79190751445087
"X345",34.4,1.79896907216495
"X346",34.5,1.95454545454545
"X347",34.6,2.15168539325843
"X348",34.7,1.90452261306533
"X349",34.8,1.93333333333333
"X350",34.9,2.29
"X351",35,2.61658031088083
"X352",35.1,3.22842639593909
"X353",35.2,3.16326530612245
"X354",35.3,3.46276595744681
"X355",35.4,3
"X356",35.5,2.60989010989011
"X357",35.6,3.05714285714286
"X358",35.7,2.77058823529412
"X359",35.8,2.55555555555556
"X360",35.9,2.0054347826087
"X361",36,1.84571428571429
"X362",36.1,1.85474860335196
"X363",36.2,1.74431818181818
"X364",36.3,1.88135593220339
"X365",36.4,1.75438596491228
"X366",36.5,2.00540540540541
"X367",36.6,2.40350877192982
"X368",36.7,2.2625
"X369",36.8,1.84090909090909
"X370",36.9,2.01183431952663
"X371",37,1.92982456140351
"X372",37.1,2.09302325581395
"X373",37.2,2.31547619047619
"X374",37.3,2.51829268292683
"X375",37.4,2.62359550561798
"X376",37.5,2.17894736842105
"X377",37.6,2.07182320441989
"X378",37.7,2.17142857142857
"X379",37.8,2.38659793814433
"X380",37.9,2.5
"X381",38,2.46236559139785
"X382",38.1,2.7292817679558
"X383",38.2,2.92718446601942
"X384",38.3,3.23157894736842
"X385",38.4,2.95477386934673
"X386",38.5,2.73039215686275
"X387",38.6,2.59685863874346
"X388",38.7,2.52849740932642
"X389",38.8,2.55428571428571
"X390",38.9,3.06806282722513
"X391",39,2.63054187192118
"X392",39.1,2.78534031413613
"X393",39.2,2.75
"X394",39.3,2.70731707317073
"X395",39.4,2.605
"X396",39.5,2.71859296482412
"X397",39.6,3.09134615384615
"X398",39.7,2.73488372093023
"X399",39.8,3.09090909090909
"X400",39.9,3.22748815165877
"X401",40,3.42512077294686
"X402",40.1,2.90740740740741
"X403",40.2,3.74146341463415
"X404",40.3,2.94859813084112
"X405",40.4,2.81566820276498
"X406",40.5,2.91891891891892
"X407",40.6,2.69230769230769
"X408",40.7,2.68837209302326
"X409",40.8,2.85507246376812
"X410",40.9,2.77272727272727
"X411",41,3.1609756097561
"X412",41.1,3.18518518518519
"X413",41.2,3.22994652406417
"X414",41.3,2.62
"X415",41.4,2.50526315789474
"X416",41.5,2.64397905759162
"X417",41.6,2.37037037037037
"X418",41.7,2.14754098360656
"X419",41.8,2.22680412371134
"X420",41.9,2.78651685393258
"X421",42,2.73076923076923
"X422",42.1,2.36686390532544
"X423",42.2,2.11602209944751
"X424",42.3,2.45086705202312
"X425",42.4,1.77900552486188
"X426",42.5,2.08074534161491
"X427",42.6,2.03954802259887
"X428",42.7,2.19277108433735
"X429",42.8,2.13636363636364
"X430",42.9,2.06666666666667
"X431",43,1.90960451977401
"X432",43.1,1.75609756097561
"X433",43.2,1.90116279069767
"X434",43.3,1.88622754491018
"X435",43.4,2.07006369426752
"X436",43.5,2.35428571428571
"X437",43.6,2.25
"X438",43.7,2.17514124293785
"X439",43.8,2.72727272727273
"X440",43.9,2.8314606741573
"X441",44,2
"X442",44.1,2.13173652694611
"X443",44.2,2.22988505747126
"X444",44.3,2.19230769230769
"X445",44.4,2.37569060773481
"X446",44.5,2.64141414141414
"X447",44.6,2.775
"X448",44.7,3.03076923076923
"X449",44.8,2.91549295774648
"X450",44.9,3.30456852791878
"X451",45,2.31550802139037
"X452",45.1,2.42328042328042
"X453",45.2,2.6551724137931
"X454",45.3,2.80829015544041
"X455",45.4,3.06153846153846
"X456",45.5,4.2970297029703
"X457",45.6,4.68468468468468
"X458",45.7,4.64390243902439
"X459",45.8,4.47058823529412
"X460",45.9,3.0390243902439
"X461",46,2.78995433789954
"X462",46.1,3.36923076923077
"X463",46.2,2.88059701492537
"X464",46.3,2.63348416289593
"X465",46.4,3.77130044843049
"X466",46.5,7.71300448430493
"X467",46.6,9.27753303964758
"X468",46.7,8.60176991150442
"X469",46.8,9.31914893617021
"X470",46.9,8.31601731601732
"X471",47,8.07826086956522
"X472",47.1,6.40167364016736
"X473",47.2,4.90140845070423
"X474",47.3,4.24657534246575
"X475",47.4,3.75829383886256
"X476",47.5,3.89795918367347
"X477",47.6,3.64077669902913
"X478",47.7,3.4780487804878
"X479",47.8,3.71875
"X480",47.9,3.39613526570048
"X481",48,2.87755102040816
"X482",48.1,2.71634615384615
"X483",48.2,3.14814814814815
"X484",48.3,3.53301886792453
"X485",48.4,3.45673076923077
"X486",48.5,3.25247524752475
"X487",48.6,3.70283018867925
"X488",48.7,3.53181818181818
"X489",48.8,3.36986301369863
"X490",48.9,3.93693693693694
"X491",49,3.84070796460177
"X492",49.1,4.6
"X493",49.2,4.63380281690141
"X494",49.3,5.18867924528302
"X495",49.4,4.35849056603774
"X496",49.5,4.89150943396226
"X497",49.6,5.63720930232558
"X498",49.7,5.24644549763033
"X499",49.8,4.94258373205742
"X500",49.9,5.03553299492386
"X501",50,5.33846153846154
"X502",50.1,4.46634615384615
"X503",50.2,3.67632850241546
"X504",50.3,3.78804347826087
"X505",50.4,3.7027027027027
"X506",50.5,4.25
"X507",50.6,3.82323232323232
"X508",50.7,3.43434343434343
"X509",50.8,3.77297297297297
"X510",50.9,3.13368983957219
"X511",51,2.33689839572193
"X512",51.1,2.31958762886598
"X513",51.2,2.54455445544554
"X514",51.3,2.56852791878173
"X515",51.4,2.78494623655914
"X516",51.5,2.12637362637363
"X517",51.6,2.30167597765363
"X518",51.7,2.31443298969072
"X519",51.8,2.4375
"X520",51.9,2.75138121546961
"X521",52,2.4207650273224
"X522",52.1,2.39884393063584
"X523",52.2,2.17391304347826
"X524",52.3,2.625
"X525",52.4,2.84408602150538
"X526",52.5,2.5625
"X527",52.6,1.88304093567251
"X528",52.7,2.05649717514124
"X529",52.8,2.32941176470588
"X530",52.9,1.84408602150538
"X531",53,1.79881656804734
"X532",53.1,1.89502762430939
"X533",53.2,1.72881355932203
"X534",53.3,1.7797619047619
"X535",53.4,1.90963855421687
"X536",53.5,1.85964912280702
"X537",53.6,1.89502762430939
"X538",53.7,1.94610778443114
"X539",53.8,1.85245901639344
"X540",53.9,1.8
"X541",54,1.69620253164557
"X542",54.1,2.03614457831325
"X543",54.2,1.88648648648649
"X544",54.3,1.70689655172414
"X545",54.4,1.60115606936416
"X546",54.5,1.61764705882353
"X547",54.6,1.75925925925926
"X548",54.7,1.7037037037037
"X549",54.8,1.74301675977654
"X550",54.9,1.68823529411765
"X551",55,1.64705882352941
"X552",55.1,1.63583815028902
"X553",55.2,2.00584795321637
"X554",55.3,2.08333333333333
"X555",55.4,2.09289617486339
"X556",55.5,2.13829787234043
"X557",55.6,2.10285714285714
"X558",55.7,1.71597633136095
"X559",55.8,1.86187845303867
"X560",55.9,1.72670807453416
"X561",56,1.80898876404494
"X562",56.1,2.5625
"X563",56.2,2.1864406779661
"X564",56.3,2.2814371257485
"X565",56.4,3.15025906735751
"X566",56.5,4.74585635359116
"X567",56.6,4.6282722513089
"X568",56.7,2.84210526315789
"X569",56.8,2.73936170212766
"X570",56.9,2.61386138613861
"X571",57,2.47029702970297
"X572",57.1,2.88297872340426
"X573",57.2,2.89637305699482
"X574",57.3,3.285
"X575",57.4,2.9119170984456
"X576",57.5,3.06666666666667
"X577",57.6,2.92268041237113
"X578",57.7,2.41988950276243
"X579",57.8,2.06417112299465
"X580",57.9,1.96825396825397
"X581",58,1.84444444444444
"X582",58.1,1.86127167630058
"X583",58.2,2.10243902439024
"X584",58.3,2.04864864864865
"X585",58.4,2.52222222222222
"X586",58.5,2.55135135135135
"X587",58.6,2.18681318681319
"X588",58.7,1.81609195402299
"X589",58.8,1.73157894736842
"X590",58.9,1.81714285714286
"X591",59,2.16149068322981
"X592",59.1,2.07821229050279
"X593",59.2,2.13157894736842
"X594",59.3,1.98550724637681
"X595",59.4,1.8956043956044
"X596",59.5,1.93085106382979
"X597",59.6,2.0765306122449
"X598",59.7,2
"X599",59.8,2.00523560209424
"X600",59.9,2.10160427807487
"X601",60,2.10404624277457
"X602",60.1,2.21319796954315
"X603",60.2,2.04469273743017
"X604",60.3,2.18681318681319
"X605",60.4,1.93103448275862
"X606",60.5,2.06741573033708
"X607",60.6,2.234375
"X608",60.7,2.046875
"X609",60.8,2.22631578947368
"X610",60.9,2.04255319148936
"X611",61,1.86875
"X612",61.1,1.74157303370787
"X613",61.2,1.56024096385542
"X614",61.3,1.58181818181818
"X615",61.4,1.54651162790698
"X616",61.5,1.6144578313253
"X617",61.6,1.67515923566879
"X618",61.7,1.71140939597315
"X619",61.8,1.50649350649351
"X620",61.9,1.49397590361446
"X621",62,1.61313868613139
"X622",62.1,1.50993377483444
"X623",62.2,1.6530612244898
"X624",62.3,1.45945945945946
"X625",62.4,1.56291390728477
"X626",62.5,1.53289473684211
"X627",62.6,1.63803680981595
"X628",62.7,1.68354430379747
"X629",62.8,1.66225165562914
"X630",62.9,1.78481012658228
"X631",63,1.69182389937107
"X632",63.1,1.78857142857143
"X633",63.2,1.63483146067416
"X634",63.3,1.68789808917197
"X635",63.4,1.58620689655172
"X636",63.5,1.61271676300578
"X637",63.6,1.6280487804878
"X638",63.7,1.73099415204678
"X639",63.8,1.63057324840764
"X640",63.9,1.76966292134831
"X641",64,1.6878612716763
"X642",64.1,1.53260869565217
"X643",64.2,1.88826815642458
"X644",64.3,1.79234972677596
"X645",64.4,1.84126984126984
"X646",64.5,2.0225988700565
"X647",64.6,2.00510204081633
"X648",64.7,1.88
"X649",64.8,1.92934782608696
"X650",64.9,1.88068181818182
"X651",65,1.85567010309278
"X652",65.1,2.32085561497326
"X653",65.2,2.60752688172043
"X654",65.3,2.85263157894737
"X655",65.4,2.57142857142857
"X656",65.5,2.45744680851064
"X657",65.6,2.63297872340426
"X658",65.7,2.35483870967742
"X659",65.8,2.27368421052632
"X660",65.9,3.15789473684211
"X661",66,3.89756097560976
"X662",66.1,3.10204081632653
"X663",66.2,2.92227979274611
"X664",66.3,2.52659574468085
"X665",66.4,2.885
"X666",66.5,2.82843137254902
"X667",66.6,2.78048780487805
"X668",66.7,2.90686274509804
"X669",66.8,2.77941176470588
"X670",66.9,2.495
"X671",67,2.92344497607656
"X672",67.1,3.14423076923077
"X673",67.2,3.81914893617021
"X674",67.3,3.38341968911917
"X675",67.4,2.05759162303665
"X676",67.5,2.1063829787234
"X677",67.6,1.88333333333333
"X678",67.7,1.98913043478261
"X679",67.8,2.21538461538462
"X680",67.9,2.30978260869565
"X681",68,2.19402985074627
"X682",68.1,2.42131979695431
"X683",68.2,2.40487804878049
"X684",68.3,2.66666666666667
"X685",68.4,2.45876288659794
"X686",68.5,2.54945054945055
"X687",68.6,2.74384236453202
"X688",68.7,2.5
"X689",68.8,2.5
"X690",68.9,2.23958333333333
"X691",69,2.1005291005291
"X692",69.1,1.984375
"X693",69.2,1.88524590163934
"X694",69.3,2.11229946524064
"X695",69.4,1.99487179487179
"X696",69.5,2.09625668449198
"X697",69.6,1.89784946236559
"X698",69.7,2.23711340206186
"X699",69.8,2.46031746031746
"X700",69.9,2.68421052631579
"X701",70,2.57219251336898
"X702",70.1,2.50990099009901
"X703",70.2,2.48717948717949
"X704",70.3,2.43956043956044
"X705",70.4,2.62962962962963
"X706",70.5,2.48663101604278
"X707",70.6,2.78835978835979
"X708",70.7,2.72395833333333
"X709",70.8,2.64356435643564
"X710",70.9,2.30733944954128
"X711",71,2.39175257731959
"X712",71.1,2.45360824742268
"X713",71.2,2.64210526315789
"X714",71.3,2.84491978609626
"X715",71.4,2.734375
"X716",71.5,3.24630541871921
"X717",71.6,3.22279792746114
